,Channel_Id,Description,Category
10,UCa7y271A_d1YOYS6zSbHsNg,"Village Super Cooking - HELLO EVERYONE  🙏🏻NAMASKARAM🙏🏻  Welcome you all to this enthusiastic team of VILLAGE SUPER COOKING This channel team VILLAGE SUPER COOKING is from TAMILNADU, INDIA. This channel is about cooking village food in large amount and feed poor people nearby. Support this channel for more videos and fun  Thank u so much 😊 Contact : villagesupercookingcontact@gmail.com ",Cooking
11,UCQwKXKnClk1hOIl5kMVt1cA,VILLAGE FOOD SAFARI - ,Cooking
12,UCs5zOg5Ad0QAkRPJsYiRm9g,"Indian Recipes Tamil - Hi friend's I am Abi. My passion towards making different varieties of recipes and trying new things in Cooking paved the way for the birth of ""Indian Recipes Tamil"" you tube channel. It all started after my marriage when I wanted to do something of my own. As cooking has been my passion, hobby so I started this you tube channel on Sep 2017. The videos are based on different cuisines in a simplified and crafted to help audiences like recently married young ladies, house wife's and bachelors. The videos on this channel includes lots of Tips and detailed explanations which makes it easier for new learners. You all are welcomed and enjoy the art of cooking. ""Happiness Is Homemade"".",Cooking
13,UCKLxe2kxPPHfWgzStYZTHgA,"Ragas kitchen - Hi, welcome to my channel. Channel start date 4th Oct 2018. Through this channel I like to share the recipes which will be in my style of cooking, my interest, my crafting ideas and works. And interesting entertaining videos.  Through this channel, I hope my friends gain something from each video. This channel shows you  Cooking recipe  craft work  outing or shopping haul organising or useful and entertaining video Email : ragaskitchentamil@gmail.com",Cooking
14,UCX0qEyC5fohX5wNH5Jwcsgg,Shrimas kitchen - Shrimas kitchen Shrimas kitchen Indian recipes Shrimas Kitchen Shrimas kitchen with Traditional Taste All tasty recipes,Cooking
15,UC5bfIeshJGEYM7yAvUpfUYg,"Chef YKU - Chef YKU ( Formerly Yeshwanth’s Kitchen ) is a dream Channel of Yeshwanth Kumar Umasankar, 16 years (as on Jan 2020) old, very passionate about Culinary Arts and Artistry. He was 8 years old when he began to hold his knife and started chopping vegetables. His passion for the art driven him to places.   He is the youngest participant who competed with professional chefs who were twice his age and won 4 Silver Medals from Culinary Olympics 2020, Germany. This is the first ever time an Indian is winning 4 Silver Medals in the 120 years history of Culinary Olympics. Today, he is very popular amongst the Indian Chefs fraternity and was recognized by National and International Chefs for his outstanding skills on Culinary Art and Artistry.  This channel will showcase the preparation of mouthwatering recipes and intricate culinary show pieces of Chef YKU  Contact Details :- Yeshwanth Kumar Umasankar | chefyku@gmail.com | www.chefyku.com | IG @chefyku | FB @chefyku | Twitter @chefyku ",Cooking
16,UCiYDDqu07eZ6jHhqghPkQRg,Apoorvaa’s Nalabagam - How to make tasty food for healthy life. We are bringing traditional recipes for all age groups.,Cooking
17,UCJ4GtMTfYIf72BCncn05ozw,"HomeCooking Tamil - Simple Cooking with Everyday Ingredients   Home Cooking Tamil brings to you a wide range of recipes in Tamil, with simple cooking methods using everyday ingredients available in our kitchens. We want to make your favorite recipes in an entertaining and informative way, aimed at helping home cooks at different skill levels.   Check out our recipes and try your hand at cooking from cuisines like South Indian, North Indian, Chinese, Continental and much more. Impress your loved ones with your cooking and make your special occasions even better with our delightful recipes.   Subscribe to our channel for new recipes every day and click the bell icon for notifications and don't miss a single update from us.",Cooking
18,UCw0TpGjgFmFYyBPvBYs7Eog,EVERYDAY COOKING - ,Cooking
19,UCncnlpiTnf89IJrekMKoa3A,Food on Farm - Food on Farm is a Authentic & Natural cooking food channel. ,Cooking
20,UCIQqTkKEgbsXxEA5agNEleg,"Myna Street Food - Myna Street Food The leading brand in Telugu Media & Entertainment & Indian Street Food industry now brings you all the Street Food on our latest and updated news only on our official YouTube page. Subscribe & Get Latest Updates.   Pan Masala,Ice Creams, Pakora Recipe, Jalebi Recipe, Prawn Recipes, Chicken Dum Biryani, Veg Dum Biryani, Hyderabadi Dum Biryani, Fish Curry Recipe, Fish Fry Recipe, Manchuria Recipe, Gobi 65 Recipe, Chicken 65 Recipe, Chicken Fry Recipe, Soups Recipe, Veg Recipes, Egg Recipes, Swagruha Foods,Chicken Recipes, Noodles, Mirchi Bajji, Pulihora, Laddu, Indian Tiffins, Indian Sweets, Bhel, Pani Puri, Fruit Juice, Butter Milk, Fastfood, Bobby, Tea, All Types Of Sodas, Banana Chips, Potato Chips, Rose Milk, Carrot Halw, Veg Curries, Chicken Curry, Fish Curry, Raita, Sugar Cane Juice, Bada, Masore Bajji, Puri, Bhel Puri, Samosa, Ice Gola, Goa Street Food, Hyderabadi Street, Food, Rajasthani Street Food, Chat, Sugar Candy, Pulao Recipes",Cooking
21,UCqsxWl1B_seBmex7n5_ihlA,"Teluginti Vanta - Hello!  Teluginti vanta ki swagatham!  This channel has got it all! From delicious Indian Recipes to Continental, shopping hauls to kitchen cleaning hacks, home remedies and what not! Find out more by staying connected to our channel. Subscribe to this channel to be updated and get a notification to never miss our videos! We'll make sure that you are fascinated, wondered and never bored by seeing our videos! All about those daily things, home made food and what not *wink* *wink*    Hope you have the time of your lives! Thank you *wink* ♥️",Cooking
22,UCWsdmEh9z3DC-bg17hGNnUQ,"Vahchef - Vahrehvah - Telugu - cooking recipes videos in Telugu - in short and crisp Video format -  It is all about inspiring others to cook with Indian Food Video Recipes by Sanjay Thumma, North and South India cuisine made quick and easy cooking with Veg",Cooking
23,UCUtOBay7y4UzlYrUyFHbBDA,"Hyderabadi Ruchulu - Hello Friends,   I am Ms. Indira Ireni, Chef of this “Hyderabadi Ruchulu” Channel.   I am very passionate about cooking and it is one stop destination for people who want to learn about Hyderabadi Food Recipes and with an additional focus on Telugu (Andhra & Telangana) Recipes / Indian Recipes.  Interactions on” Hyderabadi Ruchulu”  … All ingredients are simple ... Something which you can find in your local grocery store ... We keep audio content in Telugu and with English Subtitles ... Making it more understandable  ... We bring up all the forgotten traditional recipes from rich and poor doors  … We reply to all the questions that you ask on comments.   YouTube : http://www.youtube.com/hyderabadiruchulu  Website :  www.hyderabadiruchulu.com",Cooking
24,UCNHDmIYt2jCSr0NW6IRNaDw,"Karanya's Kitchen - Hi friends  I am Jyothi, this channel is about cooking videos and home tips for daily use. My videos will be short and sweet and I will upload video's every day.  Please support me by like, share, comment and subscribing to my channel.  Reach me on - karanyaskitchen@gmail.com ",Cooking
25,UCA1yUKlGt0TM-AdA6s8So1w,"Jhansi Kitchen Ideas - 'Jhansi Kitchen Ideas' is the one stop shop for all your cooking clarifications and cooking ideas. In this channel we only upload the cooking content that is healthy for every one and takes minimum time in preparation. Mostly we upload Indian Cuisines those are rich in vitamins and minerals.   We also upload vast indian street food items like making of pani puri at home, easy way to make samosa,easy ways to make cake at home, cake making without maida and oven, dalgona coffee making steps, lockdown recipes hyderabadi dum biryani making mirchi ka salan making double ka meetha making paya soup making malpur making chicken 65 making chilli chicken making. Pav bhaji making chole batura making home made ice cream ideas.  Please Subscribe to our channel and support us.",Cooking
26,UCsSf6j53mZqgXqLQUB4VWkw,Jyothi Shara Recipes - Cooking food Kitchen ,Cooking
27,UCTawh4Mul7kqXfHIXIn99Uw,"Lakshmi Ramana - Lakshmi Ramana Recipes is one of the  cooking channel for healthy, tasty, spicy, crispy, traditional, restaurant style and village style food & curry recipes. This channel also includes various health tips, kitchen tips, and vlogs. This channel aims to provide how to make recipes in simple way , easy  and tasty  for new married ladies, women's and bachelor's.  And also this channel gives a small ideas and tips to add more taste to the recipes.   Subscribe to my Channel and Hit the Bell icon for new updates  Please keep supporting and encouraging me with your valuable LIKES, COMMENTS and SHARES    For Business Promotions like Sarees, Jewelry, Home Foods and etc.. you may contact  ramanastats@gmail.com   ",Cooking
28,UCTbNOCtAGaqOEnLMeo3JTeg,"CookingShooking Hindi - Jab Khana Banana Milta hai Experiments se, kuch jaado bhara ho hi jaata hai.  Milye, Yaman Agarwal se, jo aapke liye le kar aayenge kuch aasan recipes har hafte. Recipes aisi, jo tried & tested ho aur aap apne ghar me confidence se bana sake!  Subscribe Kijiye CookingShooking Hindi ko - https://goo.gl/cdKf7C   Thank you.  *all props to our Geeky Sirji, I mean Ranjit Sir from GeekyRanjit for pushing me into this & making this hindi channel possible* :)",Cooking
29,UCfD08FDOGbzIxCduGKkJ0Xg,bharatzkitchen HINDI - ,Cooking
30,UCDf4zaE_kxa6jU0RQnNzsqQ,"Cooking with Rekha - Simple, Easy and Authentic Cooking :) Hello Friends _My name is Rekha Bhatia, I am the host of this channel (Cooking with Rekha). I focus on creating and posting tasty, delicious and yummy food recipe videos which are easy to recreate and can be cooked with the ingredients which are easily available. Here I share all types of recipes like Restaurant style ,Quick ,easy ,bakery items recipes ,Indian food ,Chinese, Italian And Many more types of recipes .   LIKE , SHARE AND SUBSCRIBE……",Cooking
31,UCvQ8MBgbmRYgpc0mGyb6L9Q,"Cooking With Reshu - hello Friends, I am your cooking friend Reshu Singh. In this channel i will share cooking recipes with you.  Please like my videos & subscribe my channel to stay in touch with great cooking tricks & recipes.  Business Enquiry :  justaindianblogger@gmail.com",Cooking
32,UCyJ7AXuq17EBaH972y56qyg,"Cooking with Benazir - FOR THE BENEFIT OF THOSE VIEWERS WHO DO NOT FOLLOW THE LANGUAGE I HAVE INCORPORATED ""ENGLISH SUBTITLES"" SO THAT THEY CAN UNDERSTAND BETTER.  My channel is not just about repeating the good old recipes, It is about stimulating your taste buds with fresh blend of love and efforts. Something not just tasteful but also soulful and serving as a junction of taste, health and pure sense of relishing good cuisine.  To download written recipes and detailed ingredients list of recipes please visit  my Website: https://www.cookingwithbenazir.com  Mail: cookingbenazir@gmail.com",Cooking
33,UCn_8mxx_X7cDscFWVPiC-aA,"Shreeji food Hindi - Hi friends,mere channel pr aap punjabi, Gujarati, South Indian, Continental, Street food recipes esi bahot sari recipes aasani se aur mostly ghar pr miljanevali chijo se banana sikhenge,sath hi use perfect banane k liye tips aur tricks bhi milenge.To channel ko subscribe karke bell 🔔 icon pr all pr select kar de 🙏",Cooking
34,UCqx-fjcnjQwqEJ-Z9107D6Q,Cooking Recipe with Meena - ,Cooking
35,UClfidxoNRvDO361TM5rw64Q,"Cook With Parul - Cook with Parul  is an Indian food channel / Indian Cooking Channel which showcases the best Indian recipes hosted by Parul Gupta. #cookwithparul is a Top Indian Vegetarian food channel on YouTube.  Mainly focus on simple recipes with modern touch and can be cooked with the ingredients which are easily available at home. This channel will give you access to wonderful authentic food with enhance recipes,Kitchen Tips & Tricks.  #Cooking #Recipes #VegRecipes #Tasty #IndianYouTubeChannel   Happy Smart & Instant Cooking.   Youtube: https://goo.gl/n9nvav    Website : www.cookwithparul.com Facebook:  https://www.facebook.com/CookwithParulGupta/   Instagram: https://www.instagram.com/cookwithparul/ Twitter: https://twitter.com/CookWithParul    For Business Enquirers Contact me at  parul@cookwithparul.com",Cooking
36,UCh6F4Vvdy4YT6-LbP53CgAg,Anukriti Cooking Recipes Hindi - ,Cooking
37,UCrmIko0IZuJIM9Ws0aM91ug,"The Tiny Foods - Hindi - Dear Friends,  This Channel, ""The Tiny Foods - Hindi"" is the Branch of ""The Tiny Foods""  Here you can watch Tiny Food Cooking with Puppet Show in Hindi..  Our aim is to Entertain you through our Puppet Show belong with Cooking..  Have Fun..  The Tiny Foods - Hindi",Cooking
38,UC20sXo8ReewkzNKBFgzVCPA,"TAMIL TECH - தமிழ் டெக் - Tamil Tech is 🌍Worlds  ""No #1"" Top Technology channel (UNBIASED⚖️) in Tamil which Focuses on Quality 📱Tech Videos that make Sense. நம் தமிழ் மொழியில் ஒரு பெரிய வளமான டெக் குழுவிற்கு அன்புடன் வரவேற்கிறேன்💝.  My name - Tamil Selvan (M.Tech - IT) 💻 Founder of Tamil Tech  *Sponsors can contact me on below e-mail  *** Business@TamilTechOfficial.com  *** 📧  We don't provide any Tech Support via e_mail. Official website: http://tamiltechofficial.com/  THANK YOU ALL for your great support - நன்றி!!  ""வாழ்க தமிழ், வளர்க டெக்னாலஜி""  Please find my other channel links below: ➡️Tamil Selvan  : https://www.youtube.com/TamilSelvan ➡️Tech Thlaiva  : https://www.youtube.com/TechThalaiva ➡️TamilTech SHORTS : https://bit.ly/TTShorts ➡️ HowiSiT : https://www.youtube.com/HowiSiTin  Note: Copying or Reproduction of Logo or content from this channel is strictly prohibited.",Tech Review
39,UCfHbVIuScyuQob_2XpyfMZQ,"C4ETech Tamil - Welcome to C4ETech Tamil, my name is Ash.  C4ETech Tamil is a tech channel in Tamil that's focused on Smartphones and Android.   Right from Reviews, Comparisons & Tests to App & Game recommendations to Mods and tutorials, We shoot a lot of videos...   To stay updated on the latest in Android and possibly even learn something new go ahead and subscribe to C4ETech, its FREE :)  Ash  ►My Production Gear - http://amzn.to/1pTWUZ2  For Advertising/Sponsorship & other business related queries you can contact us at the e-mail address below...  Please IGNORE e-mails sent to you from any non-""@c4etech"" e-mail addresses!  I DO NOT provide tech assistance via e-mail & any query sent to this ID will be ignored!",Tech Review
40,UCcep2qK6JmtCmIhgpnrEDJQ,Top 10 Tamil - ,Tech Review
41,UCe_-TsRz3GH8UVjN0ApzXJQ,"Tech Shan Tamil - Tamil Tech Channel - Amazon Gadgets, Technology , Smartphone Reviews , Android , Unboxing Gadgets , Electronics , Reviews, Tech videos, How-to videos . Tech Videos in tamil   வணக்கம் நண்பா , என் பெயர் ஷான் . டெக் ஷான் தமிழ் சேனலிற்கு உங்களை வரவேற்கிறேன் டெக் ஷான் தமிழ் , இந்த சேனல்ல product reviews , unboxing , How to videos , smart phone reviews என எல்லாமே இருக்கும் உங்களுக்கு புடிச்ச மாதிரி . ஆங்கிலத்தில் விடீயோஸ் செய்துகொண்டிருக்கையில் , தமிழிலும் தரமான விடீயோஸ் கொடுப்பதற்காக இந்த முயற்சி டெக்கோடு கொஞ்சம் FUN சேர்த்து   இன்போர்மஷனை கொஞ்சம் எண்டெர்டைனிங்காக கொடுப்பதே என் நோக்கம் என்   official email id : shan@techshan.com strictly for business inquiries.  My English Channel : http://youtube.com/techshan",Tech Review
42,UCvyZS6W6zMJCZBVzF-Ei6sw,"A2D Channel - we make videos...   For Sponsorships: collab@a2dmediagroup.com  A2D PC Factory(for Soldier PC Builds): enquiries@a2dpcfactory.com / +91 9445747768 / +91 9025380083 (be patient, don't spam) ",Tech Review
43,UCZj7TPWYy-bxVoFukc3V2zQ,"Geekytamizha - Welome to Geekytamizha! Yes you have come to correct place!this channel is all about reviews,unboxing,tips and other cool stuff in tamil!!!Stay subscribed to get updated about all the cool stuff happening in this channel! PLEASE DO SUBSCRIBE!:}  For Business Queries : directrixreviews@gmail.com  Magilchi!",Tech Review
44,UCON_gtDQSNnWS1gwBcqgRKg,Tech Satire - Useful & Interesting Tech Videos!  Business Enquiries : technologysatire@gmail.com  ,Tech Review
45,UCnKhQkCUS1oCEvjuTfU4xIw,Tech Boss - Tech Boss Channel is an authentic where you can learn about Technology and Latest Gadget without any biased review. A leading Tech Channel in Tamil | Tech YouTuber | Vlogger | 🔥3.2Mn+ Strong TechBoss Family✌ ( YT & FB ) ,Tech Review
46,UCkpgytHFxc69qJzxkukYyOw,"Loud Oli Tech - Loud Oli Tech is a Tamil Technology YouTube channel  This channel making best TECH videos in தமிழ் language  Unbox & Review :  - Mobile unboxing in tamil, - Mobile Review ,spec,camera sample in tamil, - New mobile gadgets review,  - New invention gadgets unboxing.  Online : best shopping product review, - Facebook, whatsapp, YouTube tips & tricks in Tamil , - Best website review Tamil,  - Google new updates in Tamil - How to Make Money Online in Tamil - Top Earning app & Website Details in Tamil  *Sponsors can Contact via E-Mail :   loudolitech@gmail.com",Tech Review
47,UCs-2DhK0sAghcpVCap0cH2g,"Tech Tamizha - Hi, I am Lakshmi Rajan,  I create awesome tech content at Tech Tamizha. Be here for Smartphone, Headphone, Laptop and consumer gadgets reviews and news.   Support Tech Tamizha and Stay Connected. For more Tamil Tech videos in future subscribe and follow the following links and support us.  YouTube : https://youtube.com/TechTamizha Facebook: https://facebook.com/TechTamizha Twitter: https://twitter.com/TechTamizha Twitter: https://twitter.com/LakshmiRajan Instagram: https://www.instagram.com/lakshmirajan  Tech Tamizha a.k.a Tech Tamila",Tech Review
48,UC8Orrt5uYK730EqFHHH29zg,"C Bros Creations - தமிழ் - Hi guys Welcome to our channel...  In this channel you are going to see different types of video's like tech videos, unboxing & review, creative videos, informative video's, Recipes,#VLOG videos ect...  So please watch, learn & enjoy...  Follow us on Instagram:         C_BROS__OFFICIALS   Follow us on Facebook:          Cbros U-TUBE  Like....            Share......                       Comment....  Don't forget to           SUBSCRIBE!!!!!!!  For Advertisement : Whatsapp.8939665065",Tech Review
49,UCQjs8fhWqBCimPL3NuLZMpw,"Mac Tech Tamil - Vanakkam Nanbargale unga channel Mac Tech Tamil ku varaverkiren. Inga  Cryptocurrency sambandham aana ella vishayamum ungalkku kidakum. Crypto analysis and prediction, Crypto news. So indha channel eh SUBSCRIBE pannikonge  Indha channel vandhutu April-10-2016 ku aarumbiche anna romba inconsistent aayten . Ippo Namma Tamil nanbargalukkaage Tamil ku shift panniten so Please Support pannunga nanbargale. 10K Subscriber Family completed. Hope we become a family of 15K soon........................... Romba Romba Nandri Nanbargale.    ",Tech Review
50,UCfpVnIwj6RnNBJ-sqp01p9Q,"GiriSonnaSeri Tech - Welcome to ""Giri Sonna Seri"".  A Channel by Giridhar Chandrasekar. A Tech Channel in Tamil Language.  Join me as I talk about Consumer Tech Products in Simple language. Understanding Tech Products and Concepts made easy in Tamil, by Giridhar.  Subscribe now to Girisonnaseri  FOLLOW ME ON TWITTER https://twitter.com/girisonnaseri  FOLLOW ME ON FACEBOOK https://www.facebook.com/Giri-Sonna-Seri-244266512677307/  FOLLOW ME ON INSTAGRAM https://instagram.com/girisonnaseri",Tech Review
51,UCGJ2lYgx2Pm1yTHWNIZN_rw,"Tech Buddies - Hi Guys! This is Murugesan Gurusamy, I am a Youtuber and Founder of Adada Creators. This is a Dedicated Tech Channel for Tamil Peoples Called ""Tech Buddies"". On this channel I bring you guys reviews on all the Latest Mobile Phones, Tv's, Gadgets, PC's, Tech News With Tips & Tricks Tutorials.",Tech Review
52,UCXjgbqSZcL2CpTyp-p_7TGQ,"Technical Chennai -  A big  WELCOME to the channel ""Technical Chennai""  My name is Vana Vanarajan - GNIIT  Here you get Latest Tech News in Tamil, Upcoming Smartphones, Reviews, Tech tips in Tamil. Please SUBSCRIBE to Technical Chennai and stay updated with the latest technology. Hope to inform & inspire. நன்றி  Business contact: For Business Related Queries - technicalvana@gmail.com _______________________________  ",Tech Review
53,UCOYWQ-D54B5qerYAR2gk2lg,"BULB TECH - Welcome To Bulb Tech  This channel about Tech videos content and tips and tricks videos in very high quality videos Come learn about Windows, Pc, software, tricks, Unboxing, Apps and Games growth your technical Skills..........  Support me guys and i will make useful videos for you....  பல்ப் தொழில்நுட்பத்திற்கு வரவேற்கிறோம்   மிக உயர்ந்த தரமான வீடியோக்களில் உள்ள டெக் வீடியோ உள்ளடக்கம் மற்றும் டிப்ஸ் மற்றும் ட்ரிக்ஸ் வீடியோக்கள் பற்றிய இந்த சேனல் விண்டோஸ், பிசி, சாப்ட்வேர், ட்ரிக்ஸ், அன் பாக்சிங், ஆப்ஸ் மற்றும் கேம்ஸ் வளர்ச்சி உங்கள் தொழில்நுட்ப திறன்களைப் பற்றி அறிய வாருங்கள் ..........   எனக்கு ஆதரவு தாருங்கள் நண்பர்களே நான் உங்களுக்கு பயனுள்ள காணொளிகளை உருவாக்குகிறேன் .... ",Tech Review
54,UC86iS4nnB_nb2r8UHDtApaQ,"Tech Critiques Tamil - தமிழால் இணைந்த நண்பர்கள்   அனைவருக்கும் வணக்கம்🙏🏻  TECH CRITIQUES சேனலுக்கு தங்களை  வரவேற்கிறேன் 🙏🏻    Tech Critiques is one of the tech channel that produces quality tech videos in Tamil.  Understanding Tech Products and Concepts made easy in Tamil. Subscribe now to Tech critiques.  http://www.youtube.com/TechCritiques  JOIN US 🙏🏻 My channel publishes videos that focus on         1)Unboxing mobile gadgets,        2)Tech news and also         3)Tutorials about tech in tamil. If that sounds like it could be helpful for you, please join us!  Follow us on Instagram ➡️ https://www.instagram.com/Techcritiqu... Follow us on Twitter ➡️ https://twitter.com/TCritiques Follow us on Facebook➡️   https://Facebook.com/TechCritiquesOfficial   👉Sponsers can contact via 📥: techcritiques4u@gmail.com  Thanks for your visit🙏🏻",Tech Review
55,UCmslKyRTdWOalZwefCIvG2Q,"Fake Or True Tamil - நமது FT குடும்பத்திற்கு உங்கள் அனைவரையும் வரவேற்கிறேன்   Welcome to our FT FAMILY..❤️ Fake Or True Tamil,       நமது சேனலில் நாம் டெக்னாலஜி  மற்றும் அதனுடைய விமர்சனம் செய்வோம். நாங்கள் புதிய மொபைல்ஸ் அன்பாக்ஸிங் மற்றும் நேர்மையான உண்மையான விமர்சனங்களை கூறுவோம்.             Our channel is about Technology and thier Reviews. I also do many New Mobile Phones Unboxing and Honest Reviews.           என்னுடைய எண்ணம் : “தொழில்நுட்பம் என்பது  ஒன்றுமில்லை ......ஆனால் நாம் கொஞ்சம் தெரிந்து கொள்ள வேண்டிய ஒன்று""         My Thought : “Technology is Nothing...but       something we should know a little""            ""SUCCESS DOES NOT JUST FIND YOU              YOU HAVE TO GO OUT AND GET IT""                                                                                                                                                       ",Tech Review
