,Channel_Id,Clean_text,Category
26,UCsSf6j53mZqgXqLQUB4VWkw,jyothi shara recipes cooking food kitchen,Cooking
27,UCTawh4Mul7kqXfHIXIn99Uw,lakshmi ramana lakshmi ramana recipes one cooking healthy tasty spicy crispy traditional restaurant style village style food curry recipes also includes various health tips kitchen tips vlogs aims provide make recipes simple way easy tasty new married ladies women bachelor also gives small ideas tips add taste recipes hit bell icon new updates keep encouraging valuable likes comments shares promotions sarees jewelry home foods etc may contact ramanastats com,Cooking
28,UCTbNOCtAGaqOEnLMeo3JTeg,cookingshooking jab khana banana milta hai experiments se kuch jaado bhara ho jaata hai milye yaman agarwal se jo aapke liye le kar aayenge kuch aasan recipes har hafte recipes aisi jo tried tested ho aur aap apne ghar confidence se bana sake kijiye cookingshooking ko props geeky sirji mean ranjit sir geekyranjit pushing making possible,Cooking
29,UCfD08FDOGbzIxCduGKkJ0Xg,bharatajkichein,Cooking
30,UCDf4zaE_kxa6jU0RQnNzsqQ,cooking rekha simple easy authentic cooking friends name rekha bhatia host cooking rekha focus creating posting tasty delicious yummy food recipe easy recreate cooked ingredients easily available types recipes restaurant style quick easy bakery items recipes indian food chinese italian many types recipes,Cooking
31,UCvQ8MBgbmRYgpc0mGyb6L9Q,cooking reshu friends cooking reshu singh cooking recipes stay touch great cooking tricks recipes justaindianblogger com,Cooking
32,UCyJ7AXuq17EBaH972y56qyg,cooking benazir benefit viewers language incorporated english subtitles understand better repeating good old recipes stimulating taste buds fresh blend efforts something tasteful also soulful serving junction taste health pure sense relishing good cuisine download written recipes detailed ingredients list recipes visit website cookingbenazir com,Cooking
33,UCn_8mxx_X7cDscFWVPiC-aA,shreeji food friends mere pr aap punjabi gujarati south indian continental street food recipes esi bahot sari recipes aasani se aur mostly ghar pr miljanevali chijo se banana sikhenge sath use perfect banane k liye tips aur tricks bhi milenge ko karke bell icon pr pr select kar de,Cooking
34,UCqx-fjcnjQwqEJ-Z9107D6Q,cooking recipe meena,Cooking
35,UClfidxoNRvDO361TM5rw64Q,cook parul cook parul indian food indian cooking showcases best indian recipes hosted parul gupta cookwithparul top indian vegetarian food mainly focus simple recipes modern touch cooked ingredients easily available home give access wonderful authentic food enhance recipes kitchen tips tricks cooking recipes vegrecipes tasty indianyoutubechannel happy smart instant cooking website www cookwithparul com enquirers contact parul cookwithparul com,Cooking
36,UCh6F4Vvdy4YT6-LbP53CgAg,anukreethy cooking recipes,Cooking
37,UCrmIko0IZuJIM9Ws0aM91ug,tiny foods friends tiny foods branch tiny foods watch tiny food cooking puppet show aim entertain puppet show belong cooking fun tiny foods,Cooking
38,UC20sXo8ReewkzNKBFgzVCPA,tech tech orworlds 1 top technology unbiased focuses quality tech make sense warmly great resourceful tech team language name selvan tech founder tech sponsors contact e tamiltechofficial com provide tech via e official website great find links selvan tech thlaiva tamiltech shorts bit ly ttshorts howisit note copying reproduction logo content strictly prohibited,Tech Review
39,UCfHbVIuScyuQob_2XpyfMZQ,c4etech c4etech name ash c4etech tech focused smartphones android right reviews comparisons tests app game recommendations mods tutorials shoot lot stay updated latest android possibly even learn something new go ahead c4etech free ash production gear advertising related queries contact us e address ignore e mails sent non c4etech e addresses provide tech assistance via e sent id ignored,Tech Review
40,UCcep2qK6JmtCmIhgpnrEDJQ,top 10,Tech Review
41,UCe_-TsRz3GH8UVjN0ApzXJQ,tech tech amazon gadgets technology smartphone reviews android unboxing gadgets electronics reviews tech tech name shawn tech tech product model product box unboxing smart phone reviews making english aim give little fun along little fun attempt give quality well little bit information official id techshan com strictly inquiries english,Tech Review
42,UCvyZS6W6zMJCZBVzF-Ei6sw,a2d make sponsorships collab a2dmediagroup com a2d pc factory soldier pc builds a2dpcfactory com 91 9445747768 91 9025380083 patient spam,Tech Review
43,UCZj7TPWYy-bxVoFukc3V2zQ,geekytamizha welome geekytamizha yes come correct place reviews unboxing tips cool stuff stay subscribed get updated cool stuff happening queries directrixreviews com magilchi,Tech Review
44,UCON_gtDQSNnWS1gwBcqgRKg,tech satire useful interesting tech technology satire com,Tech Review
45,UCnKhQkCUS1oCEvjuTfU4xIw,tech boss tech boss authentic learn technology latest gadget without biased review leading tech tech youtuber vlogger 3 2mn strong techboss family yt fb,Tech Review
46,UCkpgytHFxc69qJzxkukYyOw,loud oli tech loud oli tech technology making best tech language unbox review mobile unboxing mobile review spec camera sample new mobile gadgets review new invention gadgets unboxing online best shopping product review tips tricks best website review google new updates make money online top earning app website details sponsors contact via e loudolitech com,Tech Review
47,UCs-2DhK0sAghcpVCap0cH2g,tech tamizha lakshmi rajan create awesome tech content tech tamizha smartphone headphone laptop consumer gadgets reviews news tech tamizha stay connected tech future following links us tech tamizha k tech tamila,Tech Review
48,UC8Orrt5uYK730EqFHHH29zg,c bros creations guys going see different types tech unboxing review creative informative recipes vlog ect watch learn enjoy us c bros officials us cbros u tube comment forget 8939665065,Tech Review
49,UCQjs8fhWqBCimPL3NuLZMpw,mac tech vanakkam nanbargale unga mac tech ku varaverkiren access cryptocurrency related information crypto analysis prediction crypto news indha eh pannikonge indha vandhutu april 10 2016 aarumbiche anna romba inconsistent aayten ippo namma nanbargalukkaage ku shift panniten pannunga nanbargale 10k subscriber family completed hope become family 15k soon romba romba nandri nanbargale,Tech Review
50,UCfpVnIwj6RnNBJ-sqp01p9Q,girisonnaseri tech giri sonna seri giridhar chandrasekar tech language talk consumer tech products simple language understanding tech products concepts made easy giridhar girisonnaseri,Tech Review
51,UCGJ2lYgx2Pm1yTHWNIZN_rw,tech buddies guys murugesan gurusamy youtuber founder adada creators dedicated tech peoples called tech buddies bring guys reviews latest mobile phones tv gadgets pc tech news tips tricks tutorials,Tech Review
52,UCXjgbqSZcL2CpTyp-p_7TGQ,technical big technical name vana vanarajan gniit get latest tech news upcoming smartphones reviews tech tips technical stay updated latest technology hope inform inspire contact related queries technicalvana com,Tech Review
53,UCOYWQ-D54B5qerYAR2gk2lg,bulb tech bulb tech tech content tips tricks high quality come learn windows pc software tricks unboxing apps games growth technical skills guys make useful pulp technology tech content tips tricks highest quality windows pc software tricks unboxing apps games development come know technical skills friends make useful,Tech Review
54,UC86iS4nnB_nb2r8UHDtApaQ,tech critiques tech critiques tech critiques one tech produces quality tech understanding tech products concepts made easy tech critiques us publishes focus 1 unboxing mobile gadgets 2 tech news also 3 tutorials tech sounds could helpful us us us us sponsers contact via techcritiques4u com visit,Tech Review
55,UCmslKyRTdWOalZwefCIvG2Q,fake true ft family ft family fake true review technology say new mobiles unboxing honest real reviews technology thier reviews also many new mobile phones unboxing honest reviews thought technology nothing something need know little bit thought technology nothing something know little success find go get,Tech Review
56,UCmqo2m6DHoFY0Xt5lwWmjeA,rk tech advertising related queries contact rktamiltech02 com intro created rk tech easily understand technical information speakers rk tech inspiration created peoples learn technology basically name rk tech friends rk tech created 22th december 2017 easy understand tech get latest tech updates mobile app review tips also innovation wanted every individual whoever interested technology able understand easiest possible way live native sirkazhi hobby u b c r b e rk tech,Tech Review
57,UCT4J70qT-6HE94d_bAjGg4A,techguruji proud kanyakumarian fan kanyakumarian ips officer sylendra babu something tech people technical guruji inspiration created peoples learn technology basically name technical guruji short techguruji created 15th august 2016 moto easy understand tech get latest tech updates tips also innovation wanted every individual whoever interested technology able understand easiest possible way live kanyakumari hobby u b c r b e techguruji provide tech e advertising related queries contact us e address guru tamiltechguruji com,Tech Review
58,UCb-xXZ7ltTvrh9C6DgB9H-Q,prasadtechintelugu technology smartphone reviews unboxing gadgets electronics gadget reviews tech tech q technews prasadtechintelugu technology get see tech gadget language ultimate aim educate people latest technology gadgets forget prasadtechintelugu social media queries contact e address regarding tech buying queries emails answered,Tech Review
59,UCdqtTQjRs-aEZUIzcJrx2xw,tech srinivas tech basically engineer much interested electronics photography unboxing latest gadgets make reviews specially audience try make atleast week forget visiting srinivas chintapatla host padma chintapatla producer,Tech Review
60,UCBStUF8ywTtgCvkpYVvi1YQ,techtuts friends hafiz tech youtuber knowledge keep uploading intention upload useful someone would happy satisfied put useful anyone every day three tech tuts keep uploading many people take inspiration started tech started became successful many got jobs many students got good marks subjects gave much joy november 19 got best tech content creator award lot upload good hafiz,Tech Review
61,UCLqR-2tNtUEs0B-lcDf0_XA,tech report friends find enough technology information tech report giving technology related information unboxing reviews tech news etc good day inquiries contact techreporttelugu com,Tech Review
62,UCqZxg3m8lhp6zFtvlIK9Osw,sai nithin tech sai nithin tech sai nithin tech tech youtuber makes tech tech news makes special series one minute tech bytes comment reaction adding good humour content managed reachdigital sai nithin tech website sai nithin tech sai nithin sai nithin vlogs contact businesswithnithin2 com,Tech Review
63,UC4T2ovrPfl2fXjfZXrhFbzA,techfacts techfacts rafee shaik researching android mobiles computers 2011 suggesting friends family people buying mobile solving many problems faced mobiles participating many communities worked beta member finally decided start help techfacts initially started group broadcast telegram 2016 always ready deliver best tech started 07 march 2018 1st inquiries techfactsrafee com techfactsrafee warm wishes subscribers,Tech Review
64,UCv-rv0NzHp-DSRkoxo5TXCA,vaasutechvlogs friends 20 years experience field electronics gadgets help choose buy right gadget introduce latest technology well mobile phones smartphones bring complete review smart watch smart tv tablets laptop computers along unboxing completely free charged anyway beard vasu gaddam 20 years expertise field computers mobiles tabs smartwatches guide pros cons gadgets may help expert opinion market research facet computers mobiles tabs smartwatches feel free,Tech Review
65,UCtJcXOUyIx1Ey_JgePkHfsA,tech tv tech tv find technology unboxing smartphone reviews unboxing gadgets gadget reviews tech tech q technews friends self saikiran techno freak curious technology passionate finding best sharing community main aim bring latest technology updates mobile phone gadget reviews also cool tips tricks try best upload quality content time always looking ways improve promise best make gain endless knowledge technology lets friends schedule daily one mon friday dailytechbytes saturday asksai sunday specialsundayseries queries contact telugutechtv com sticking around regards tech tv,Tech Review
66,UC7xdLQYOpbYuLpAfGwLN6Kw,tech logic friends name nani prabhakar tech logic find technology related topics well tech news well new gadgets unboxing reviews every day interesting technology details,Tech Review
67,UCQ1LW3rbaZbM5QphjZtwduA,tech anr type gadgets unboxing reviews remaining coming soon everyone name nagraj golla newly launched tech anr related technology would extend best wishes information provide hoping stand small effort tech anr,Tech Review
68,UCyuGeuuYBstfGDFNTiJUiqA,tech droid guy name sandip kumar tech passion review unboxing tipsy tricky stay software flashing custom update installation system repair root recovery modifications tech product app review mobile pc tips trick contact techdroidhindi enlyft,Tech Review
69,UCae_vrAIFcLQzIFny9HeV-A,dk tech friends name deepak chandra upload new technology related every day app review tech tricks gadgets review unboxing latest smartphones mobile devices accessories electronics tech news tech tutorials inquiries dktechhindi40 com website www dktechhindi,Tech Review
70,UCXUJJNoP1QupwsYIWFXmsZg,tech burner tech count us brands techburner owned burner media owned shlok srivastava,Tech Review
71,UCOd0W4swtTCW2LSMYiG2zJw,gt gt guiding tech tech guiding tech english found make high quality tech aim inform educate entertain software hardware apple android cover also leading tech blog destination catering global audience serving around 2 million visitors per month gt owned operated padre media inquiries ashish guidingtech dot com,Tech Review
72,UCKQ_lwJiewjitaaBDTfIWGg,gizmoddict best tech reviews making main english last couple years time bring high quality content press bell icon high quality reviews reach gizmoddictyt com,Tech Review
73,UCDS35mYy0UeWrX4PoaeUJwg,review master vikrant friends host vikrant joshi review master engineer profession also novel writer could become teacher whatever knowledge cannot limit made want get good true information language connect social media platform links also available also given hope liking,Tech Review
74,UCOhHO2ICt0ti9KAh-QHvttQ,technical guruji friends much technical guruji created friends want know technology language technical guruji get daily new try tell important things world mobile computer friends technical guruji created 18th october 2015 motive behind creating make easy understand tech want every individual whoever interested technology able understand easiest possible way post two daily topics cover latest technology tech news technical guruji jai hind vande mataram gaurav technicalguruji ignore e mails sent e addresses provide tech e,Tech Review
75,UCO2WJZKQoDW4Te6NHx4KfTg,geekyranjit making biggest subscribed english tech india would find reviews gadgets smartphones effectively use daily life working computers 30 years resident geek lot posting 2011 sure subscribed free advertising related via listed note ignore e mails sent non geekyranjit com e addresses might scammers regarding tech buying queries emails answered,Tech Review
76,UC8vlDm5xvbxOrCvdu9UNOiA,techno ruhez guys name ruhez amrelia 28 year old youtuber bring guys reviews latest greatest phones mobile pc daily tech news tips tutorials goal intrigue latest reviews new smartphones laptops tv gadgets daily tech news inform complete beginners use devices show competent users little tricks make say hope entertain passion little bit humour along way free technology advice daily tech updates page technoreviewww com,Tech Review
77,UC_rD0WTWsygn28me13EqbkA,enowaytion plus enowaytion plus movie reviews movie updates independent album songs bike vlogs travel unboxing midnight stories much contact vijaypc46 com,Travel
78,UCOrzY-12XD8K2fvYX5DZZGA,explore bavin everyone bavin iam actor travel explore meet new people world think travelling expensive according travelling expensive need plan properly research everything fall within budget main intention create motivate people travel lots people travel due budget hope helps planing trip know details reach explorewithbavin com us,Travel
79,UCyocsxLVvU3nCwJyo3axM6Q,gypsy jinns name one millennial travelling wait care exploring places experimenting geographical cuisines often getting food poisoned taking way many pictures filling insta pages tediously edited beautiful pictures according aesthetics trip really hope travel order look meaning life forget look anything coz go crazy travel hakuna matata,Travel
80,UC218puJ12Jq4yyyWmKc6xMw,vlogger vlogger deepan chakkravarthi vlogging passion vlogs focuses society travel food government arts culture people life chennaivloggerofficial com,Travel
81,UCa3sQoBkibz4-PohUdeBGsg,heaven explorer group adventure lovers south india aim give viewers best content explore new places keep adventure going find interesting facts reach various water falls hills mountains valleys,Travel
82,UC6rOdhJPKmpg2o6gPuBEyuw,madhura web tv madhura web tv get interesting keep engaged entertained madhura web tv presents madhura news political news general news madhura beauty tips beauty tips health tips madhura biography biography actor actress childhood photos madhura ideas work hectic watch simple idea start madhura tech technology madhura info everyone know everything madhura info provides simple information regarding bank accounts etc madhura movie review short review new movie screen madhura kitchen cooking mouth watering recipes street foods around world madhura bhakthi devotional information temple history famous festivals temples much entertainment together packed single make sure,Travel
83,UC0GDHStEIx9n4FqUiDkxiRg,abi travel diary full time travel vlogger publish tourist places india also resort reviews could help choose best resorts travel journeys provide detailed information tourist places visit also various amenities activities resorts hotels usually publish three days forget watch comment inquiries contact travel along,Travel
84,UCWKAAgM5L7bExQJkPZIbiaw,trekker guys bhuvani dharan solo travel enthusiast backpacker hitchhiker vlogger trekker traveling low cost possible staying places cheap free started making travel find interesting places best travel destinations travel vlogs especially budget travel enjoy traveling world friends fun inspiring others find budget travel tips inspiration deals travel experience vlog friends bhuvani taran travel enthusiast packer trekker travel travel sites cheaply cheaply possible want find travel especially budget trips interesting places best travel destinations travel sharing travel experience vlog,Travel
85,UCnRGynbTJF0AoOjqanabIJw,way2go world travel technology space science many exclusive shows post every wednesday 5pm indian time way2go one stop destination world travel space science technology related even post every wednesday 5 pm indian standard time way2gomadhavan com way2gotamil way2gotamil,Travel
86,UChZf0LwrgjL81hoAynd5RJA,village database village data base vlog entertainment village foods village festival travel trips comedy clips genral knowledge etc enjoy valuable time us official page keep v l l g e b e,Travel
87,UCo8m48sD5KnnJMKbckbtpyQ,transit bites crazy travel lovers u could find ur travel needs travel food trip itinerary travelogue vlogs pacha tamilanda single owner camera editing dubbing ajay producer appa,Travel
88,UCE5ywHWaxPWJ9_NSevHaJ-g,naveen kumar bus train food travel vlogs,Travel
89,UC-uQdEMzFw-zzEfMA2QEU4w,travel aravindraj getting reels bus train id travel aravindraj link,Travel
90,UCfOcLris74mYOS3_rwWPOTQ,idoka trails muthu part time traveler managed visit close 50 countries spite full time job along would listen cool travel stories contact idoka trails gmil com,Travel
91,UCQSbjDZOCsJfsddQm9b4PZg,twin throttlers,Travel
92,UCBlAE_hoehEnQzQz9BCZ6eA,raghul prathap motto raghul prathap mechanical engineer hobbyist solo traveller raised college graduation first solo travel felt experience gained travel special also gives values life life became colorful interesting bay bengal beautiful beaches arabian sea ever green western ghats unavoidable deccan hills maharashtra great living chozha temples marvellous architectures mughal witnessed experienced worthy heritage great nation 5 long years solo travelling trekking cycling photography decided take step pour knowledge beautiful people motivate aid guide every aspect travelling weekly vlogs experincematters tamiltravelchannel tamiltrekkingchannel tamiltravelblogger,Travel
93,UCRvVNo5ZXbZLDChU-zZ9vEg,mrs merchant navy makkale mrsmerchantnavytamil us experience fun vlogs travels food reviews much make entertaining life career experiences tap button bell icon recieve instant notifications every upload forget comment leave feedback pr collab contact mrsmerchantnavy com fathimadanton digital partner divo divo one leading digital media companies south india working brands content creators across genres,Travel
94,UCB8-Q4CrUJkVbsH83ZdiN1Q,riovlogs bike related travel related,Travel
95,UC7k5Oou3LmKw1I_sz_fkfQw,eat roam hey guys pradeep live toronto canada travel explore various cuisines posting new every week forget connect food travel fun,Travel
96,UCvnq3GtSKCHDroU-E1TBxTw,london bro couple living london uk vlog contents include cooking lifestyle food reviews travel entertainment many get know london everyone contact us londontamilbro com london bro,Travel
97,UC-elz6w4sbn_5LB37pJjTRA,uma traveller namaskaram uma prasad malempati dreaming 197 countries visit counting 23 197 step comfort zone change begins end comfort zone travel takes comfort zone always learning something new place day meeting new people learning different way life culture traditions food seeing makes place unique inspired travellers sharing travel moments world part journey,Travel
98,UC-CBQChrXvLzYc9oxpMfFPg,naa anveshana namaste friends name anvesh world traveler show quest eyes counting world name anvesh posted vizag boy traveling tourism graduated traveling far traveled 70 countries goal show countries world naaanveshana8 com 91 70754 26329,Travel
99,UCy1jB1SahuCXw56KPyjAZpw,traveller friends raji reddy travel lot far traveled many places made many detailed information particular place go stay eat must visit places traveling full information travel india also around world purpose travetolive com,Travel
100,UCqKJtQcXMnYMEJAzorQgbGA,ravi traveler rtt referred rtt visakhapatnam already returned 186 countries 9 countries remain small attempt world tour experiences experiences started new traveled guy completed 186 countries 195 countries 9 remaining complete entire world travel stories around world,Travel
101,UCdnAswLzqey__zV92alcK9Q,travel vlogger travel vlog series passionate providing quality travel try cover different places express views place followed suggestions recommendations view places camera presence hope hey visiting need suggestions upcoming travel message reply back soon possible,Travel
102,UClFVoicbb4021y22E1YzsdA,traveller ramu every one ramu states tour operator make travel anybody want upcoming trips contact ramu7300 com ramu traveller,Travel
103,UCKAB3SSR5WnYA_VuDCX5AVQ,nanda journey nanda journey journal traveller everyone nanda kishore nanda journey travel especially people traveling get travel information language us travel vlogs telugutraveller telugutravelvlogs teluguvlogs telugutravel nandasjourney,Travel
104,UC6FHCN6UH9MIXjQsQ-5jhTQ,travel suji travel visa information,Travel
105,UC85Xaic7dQ7y5OEY1eENQKw,subha veerapaneni people content creator creating content form live hyderabad plan useful information travel food fitness finance anything else might help hope people enjoy subbus tales,Travel
106,UCLLjdR5FhUcnaTP6HTyjNRg,travelling soul,Travel
107,UC7qwmMOCk-q0KaROR7s7lGg,touropedia friends touropedia dosto per aapko countries cities science aur bhi bahut si amazing aur knowledgeable dekhne ko milengi get new every thursday sunday isliye aap hamare ko abhi kar lijiye matters us touropediahindiofficial com milestones 13 04 2020 0 subscriber 14 05 2020 1000 subscriber 24 06 2020 10000 subscriber 21 07 2020 50000 subscriber 19 08 2020 100000 subscriber 05 12 2020 300000 subscribers 24 01 2021 400000 subscribers 11 05 2021 600000 subscribers 13 06 2021 700000 subscribers 1m ka date dekhna hain ko karlo guys information based internet data claim truth information provided pictures episode examples,Travel
108,UChoyAdkZQVa4V7AbZshiLDg,traveling desi shares story indian entrepreneur turned youtuber traveling 25 countries sharing travel experiences eventually settling soulmate found canada life takes dramatic turns ongoing story turns happen insta thetravelingdesi fb page fb com travelingdesi,Travel
109,UCzXi0cK4FC_RM857t6rGr8Q,travel junkie suresh idea walking around new countries world try show beautiful world incredible world always try travel budget make make aware people india south asia travelling costly affair wish everyone explore beautiful world learn best things make world better place live inquiries travel junkie wold hotmail com,Travel
110,UCxlqKpaln2uXuIj2Zs3qkDQ,traveling something different dosto traveling something different dosto per aapko countries facts cities facts science space mystery famous people aur bhi bahut si amazing aur knowledgeful dekhne ko milengi dosto hamara ko kejeya turn notification button receive direct notification upload new information based internet data claim truth information provided pictures episode examples,Travel
111,UC9S4dwNL3ZCdtSXjiBQT58Q,distance travel seeker planning tour family planning road trip solo traveler explorer right place get important informative trip get itinerary budget travel reach places visit visa procedure foreign trip everything trip ready next trip,Travel
112,UCDwSnyXwd9WbAruzGKmQH9A,travelling mantra jai hind friends name manoj malhotra live delhi state india traveling passion last 14 years traveled 35 countries visit many countries want travel experiences face problem travel country travel world us mantras traveling one place questions pls msg get reply soon possible sure travellingmantraofficial com,Travel
